ID,name,loc,country,country_id,rank_raw,rank,scholarship,status,research_output,student_faculty_ratio,int_students,size,total_faculty,link,admission_raw,city,tuition_fee_raw,currency,exchange_rate,fee_min,fee_max,fee_avg,fee_min_usd,fee_max_usd,fee_avg_usd
3868,DATA SCIENCE FOR BUSINESS X – HEC,"Polytechnique Palaiseau,, France",France,31,,,,,,,,,,https://www.topuniversities.com/universities/data-science-business-x-hec,,"Polytechnique Palaiseau,",,,,,,,,,
3869,"Universidad Catolica de Avila 'Santa Teresa de Jesus"" (UCAVILA) (UCAV)","CAMPUS PRINCIPAL CANTEROS, ÁVILA, Spain +1",Spain,91,,,,,,,,,,https://www.topuniversities.com/universities/universidad-catolica-de-avila-santa-teresa-de-jesus-ucavila-ucav,,ÁVILA,,,,,,,,,
3870,Brusov State University,"Brusov State University Yerevan, Armenia",Armenia,2,,,,,,,,,,https://www.topuniversities.com/universities/brusov-state-university,,Brusov State University Yerevan,,,,,,,,,
3871,Neumann University,"Neumann University Campus Aston, United States",United States,104,,,,,,,,,,https://www.topuniversities.com/universities/neumann-university,,Neumann University Campus Aston,,,,,,,,,
3872,International School of Management (ISM) - Paris,"ISM Paris, Paris, France +1",France,31,,,,,,,,,,https://www.topuniversities.com/universities/international-school-management-ism-paris,,Paris,,,,,,,,,
3873,"National University, Philippines","National University, Manila, Philippines +7",Philippines,78,,,,,,,,,,https://www.topuniversities.com/universities/national-university-philippines,,Manila,,,,,,,,,
3874,American University Online,"American University Washington D.C., United States",United States,104,,,,,,,,,,https://www.topuniversities.com/universities/american-university/american-university-online,,American University Washington D.C.,,,,,,,,,
3875,University of Delaware Online,"Newark Campus, Newark, United States +4",United States,104,,,,,,,,,,https://www.topuniversities.com/universities/university-delaware/university-delaware-online,,Newark,,,,,,,,,
3876,Georgetown University Online,"Georgetown University Main Campus Washington D.C., United States",United States,104,,,,,,,,,,https://www.topuniversities.com/universities/georgetown-university/georgetown-university-online,,Georgetown University Main Campus Washington D.C.,,,,,,,,,
3877,University of New Haven Online,"300 Boston Post Road, New Haven, CT, US New Haven, United States",United States,104,,,,,,,,,,https://www.topuniversities.com/universities/university-new-haven/university-new-haven-online,,US New Haven,,,,,,,,,
3878,British University Vietnam,"British University Vietnam - Ecopark Campus Hung Yen, Vietnam",Vietnam,106,,,,,,,,,,https://www.topuniversities.com/universities/british-university-vietnam,,British University Vietnam - Ecopark Campus Hung Yen,,,,,,,,,
3879,Southern Leyte State University,"Main Campus, Sogod, Philippines +5",Philippines,78,,,,,,,,,,https://www.topuniversities.com/universities/southern-leyte-state-university,,Sogod,,,,,,,,,
3880,XLRI Xavier School of Management,"Main Campus Jamshedpur, India",India,39,,,,,,,,,,https://www.topuniversities.com/universities/xlri-xavier-school-management,"BSC:
- Own admission test: 0+",Main Campus Jamshedpur,,,,,,,,,
3881,Pangasinan State University,"PSU MAIN - LINGAYEN CAMPUS, Pangasinan 2401,, Philippines +10",Philippines,78,,,,,,,,,,https://www.topuniversities.com/universities/pangasinan-state-university,,"Pangasinan 2401,",,,,,,,,,
3882,TRAKYA UNIVERSITY,"Balkan Campus, Edirne, Türkiye +12",Türkiye,99,,,,,,,,,,https://www.topuniversities.com/universities/trakya-university,,Edirne,,,,,,,,,
